"ID";"type";"reactionTime";"startTimeOfStimulus";"deg";"modelNumber";"relativeResistance"
"id11";"hit";6303;-0.0646908112704846;0.50157216039569;"m12";-0.327077511246241
"id11";"hit";2557;-0.392828122025767;-0.49842783960431;"m7";-0.327077511246241
"id11";"incorrect";4028;-0.0234600084728749;0.168238827062356;"m2";-0.327077511246241
"id11";"incorrect";5595;-0.310499851380062;-0.49842783960431;"m2";-0.327077511246241
"id11";"hit";2436;-0.374300624722769;0.168238827062356;"m14";-0.327077511246241
"id11";"hit";3172;0.00398274840902668;-0.49842783960431;"m4";-0.327077511246241
"id11";"hit";5843;-0.431271012242618;0.168238827062356;"m7";-0.327077511246241
"id11";"hit";2446;0.026237563618908;0.168238827062356;"m3";-0.327077511246241
"id11";"hit";1989;-0.273560009685011;-0.165094506270977;"m14";-0.327077511246241
"id11";"incorrect";2587;-0.356506469642101;0.50157216039569;"m8";-0.327077511246241
"id11";"hit";4004;-0.337797151953402;0.168238827062356;"m8";-0.327077511246241
"id11";"hit";2756;-0.195534821500912;0.50157216039569;"m13";-0.327077511246241
"id11";"hit";2024;-0.17580124897276;-0.165094506270977;"m2";-0.327077511246241
"id11";"hit";2838;-0.258474978351298;-0.49842783960431;"m14";-0.327077511246241
"id11";"hit";1755;-0.238244430102228;-0.165094506270977;"m2";-0.327077511246241
"id11";"incorrect";3590;-0.126643077358558;0.50157216039569;"m6";-0.327077511246241
"id11";"hit";2386;-0.101854898107901;0.168238827062356;"m5";-0.327077511246241
"id11";"hit";2261;-0.160504093855728;-0.49842783960431;"m5";-0.327077511246241
"id11";"hit";2326;-0.143770557691653;-0.165094506270977;"m6";-0.327077511246241
"id11";"hit";1618;0.175239369701406;-0.49842783960431;"m8";-0.327077511246241
"id11";"hit";3373;0.188075888931942;0.168238827062356;"m15";-0.327077511246241
"id11";"hit";2746;-0.0843637770034026;-0.49842783960431;"m7";-0.327077511246241
"id11";"hit";2166;0.159081598092053;-0.49842783960431;"m13";-0.327077511246241
"id11";"hit";2881;-0.48678077599733;0.168238827062356;"m5";-0.327077511246241
"id11";"incorrect";5278;-0.466289618528754;-0.165094506270977;"m16";-0.327077511246241
"id11";"hit";2646;0.27815576868806;-0.165094506270977;"m3";-0.327077511246241
"id11";"incorrect";6216;0.0440923254948095;0.168238827062356;"m15";-0.327077511246241
"id11";"hit";2212;0.0847958491738844;0.50157216039569;"m3";-0.327077511246241
"id11";"hit";3605;0.101232412041313;0.168238827062356;"m4";-0.327077511246241
"id11";"hit";2575;0.126111501484821;-0.165094506270977;"m8";-0.327077511246241
"id11";"hit";1865;0.14474809101924;-0.165094506270977;"m14";-0.327077511246241
